gene,category,gene_base.x,cds_header,cds_seqname,locus_tag,protein_desc_from_cds,protein_id,gene_base.y,locus_base,protein_header,protein_desc_from_protein,protein_present_in_faa,match_type,gene.y,gene.x,gene_base
RvY_04007,Instability-only,RvY_04007,"lcl|BDGG01000002.1_cds_GAU91823.1_4721 [gene=RvY_04007] [locus_tag=RvY_04007-3] [protein=hypothetical protein] [partial=3'] [protein_id=GAU91823.1] [location=complement(join(<1770539..1770723,1770800..1771076))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91823.1_4721,RvY_04007-3,hypothetical protein,GAU91823.1,RvY_04007,RvY_04007,"GAU91823.1 hypothetical protein RvY_04007-3, partial [Ramazzottius varieornatus]","hypothetical protein RvY_04007-3, partial",TRUE,exact_gene,NA,NA,NA
RvY_08139-1,Instability-only,RvY_08139,"lcl|BDGG01000003.1_cds_GAU96740.1_9638 [gene=RvY_08139-1] [locus_tag=RvY_08139] [protein=hypothetical protein] [protein_id=GAU96740.1] [location=join(4726065..4726239,4726518..4726810,4727028..4727192,4727286..4727936,4728218..4728420,4728491..4729053,4729333..4729664)] [gbkey=CDS]",lcl|BDGG01000003.1_cds_GAU96740.1_9638,RvY_08139,hypothetical protein,GAU96740.1,RvY_08139,RvY_08139,GAU96740.1 hypothetical protein RvY_08139 [Ramazzottius varieornatus],hypothetical protein RvY_08139,TRUE,exact_gene,NA,NA,NA
RvY_16041,Instability-only,RvY_16041,lcl|BDGG01000013.1_cds_GAV05997.1_18894 [gene=RvY_16041] [locus_tag=RvY_16041-2] [protein=hypothetical protein] [protein_id=GAV05997.1] [location=complement(54444..54773)] [gbkey=CDS],lcl|BDGG01000013.1_cds_GAV05997.1_18894,RvY_16041-2,hypothetical protein,GAV05997.1,RvY_16041,RvY_16041,GAV05997.1 hypothetical protein RvY_16041-2 [Ramazzottius varieornatus],hypothetical protein RvY_16041-2,TRUE,exact_gene,NA,NA,NA
RvY_19360-1,Instability-only,RvY_19360,lcl|BDGG01000043.1_cds_GAV09893.1_22790 [gene=RvY_19360-1] [locus_tag=RvY_19360] [protein=hypothetical protein] [protein_id=GAV09893.1] [location=5143..5580] [gbkey=CDS],lcl|BDGG01000043.1_cds_GAV09893.1_22790,RvY_19360,hypothetical protein,GAV09893.1,RvY_19360,RvY_19360,GAV09893.1 hypothetical protein RvY_19360 [Ramazzottius varieornatus],hypothetical protein RvY_19360,TRUE,exact_gene,NA,NA,NA
RvY_07969-1,Instability-only,RvY_07969,"lcl|BDGG01000003.1_cds_GAU96539.1_9437 [gene=RvY_07969-1] [locus_tag=RvY_07969] [protein=hypothetical protein] [protein_id=GAU96539.1] [location=join(4220512..4220698,4220768..4221677,4221877..4222029,4222099..4222165)] [gbkey=CDS]",lcl|BDGG01000003.1_cds_GAU96539.1_9437,RvY_07969,hypothetical protein,GAU96539.1,RvY_07969,RvY_07969,GAU96539.1 hypothetical protein RvY_07969 [Ramazzottius varieornatus],hypothetical protein RvY_07969,TRUE,exact_gene,NA,NA,NA
RvY_17911-1,Instability-only,RvY_17911,"lcl|BDGG01000017.1_cds_GAV08180.1_21077 [gene=RvY_17911-1] [locus_tag=RvY_17911] [protein=hypothetical protein] [protein_id=GAV08180.1] [location=complement(join(75448..75677,75783..75911,76004..76094))] [gbkey=CDS]",lcl|BDGG01000017.1_cds_GAV08180.1_21077,RvY_17911,hypothetical protein,GAV08180.1,RvY_17911,RvY_17911,GAV08180.1 hypothetical protein RvY_17911 [Ramazzottius varieornatus],hypothetical protein RvY_17911,TRUE,exact_gene,NA,NA,NA
RvY_02577-1,Instability-only,RvY_02577,"lcl|BDGG01000001.1_cds_GAU90111.1_3009 [gene=RvY_02577-1] [locus_tag=RvY_02577] [protein=hypothetical protein] [protein_id=GAU90111.1] [location=join(7184420..7184523,7184687..7186238)] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU90111.1_3009,RvY_02577,hypothetical protein,GAU90111.1,RvY_02577,RvY_02577,GAU90111.1 hypothetical protein RvY_02577 [Ramazzottius varieornatus],hypothetical protein RvY_02577,TRUE,exact_gene,NA,NA,NA
RvY_10077-1,Instability-only,RvY_10077,lcl|BDGG01000005.1_cds_GAU99016.1_11914 [gene=RvY_10077-1] [locus_tag=RvY_10077] [protein=hypothetical protein] [protein_id=GAU99016.1] [location=complement(746788..747186)] [gbkey=CDS],lcl|BDGG01000005.1_cds_GAU99016.1_11914,RvY_10077,hypothetical protein,GAU99016.1,RvY_10077,RvY_10077,GAU99016.1 hypothetical protein RvY_10077 [Ramazzottius varieornatus],hypothetical protein RvY_10077,TRUE,exact_gene,NA,NA,NA
RvY_17017-1,Instability-only,RvY_17017,"lcl|BDGG01000014.1_cds_GAV07142.1_20039 [gene=RvY_17017-1] [locus_tag=RvY_17017] [protein=hypothetical protein] [protein_id=GAV07142.1] [location=join(1217688..1218004,1219302..1220154)] [gbkey=CDS]",lcl|BDGG01000014.1_cds_GAV07142.1_20039,RvY_17017,hypothetical protein,GAV07142.1,RvY_17017,RvY_17017,GAV07142.1 hypothetical protein RvY_17017 [Ramazzottius varieornatus],hypothetical protein RvY_17017,TRUE,exact_gene,NA,NA,NA
RvY_00302-1,Instability-only,RvY_00302,lcl|BDGG01000001.1_cds_GAU87467.1_365 [gene=RvY_00302-1] [locus_tag=RvY_00302] [protein=hypothetical protein] [protein_id=GAU87467.1] [location=912055..912369] [gbkey=CDS],lcl|BDGG01000001.1_cds_GAU87467.1_365,RvY_00302,hypothetical protein,GAU87467.1,RvY_00302,RvY_00302,GAU87467.1 hypothetical protein RvY_00302 [Ramazzottius varieornatus],hypothetical protein RvY_00302,TRUE,exact_gene,NA,NA,NA
RvY_06583,Instability-only,RvY_06583,"lcl|BDGG01000003.1_cds_GAU94879.1_7777 [gene=RvY_06583] [locus_tag=RvY_06583-1] [protein=hypothetical protein] [protein_id=GAU94879.1] [location=complement(join(404441..404626,404690..404839,404904..405579,405634..405762,405858..406387,406590..406718))] [gbkey=CDS]",lcl|BDGG01000003.1_cds_GAU94879.1_7777,RvY_06583-1,hypothetical protein,GAU94879.1,RvY_06583,RvY_06583,GAU94879.1 hypothetical protein RvY_06583-1 [Ramazzottius varieornatus],hypothetical protein RvY_06583-1,TRUE,exact_gene,NA,NA,NA
RvY_10146-1,Instability-only,RvY_10146,"lcl|BDGG01000005.1_cds_GAU99102.1_12000 [gene=RvY_10146-1] [locus_tag=RvY_10146] [protein=hypothetical protein] [protein_id=GAU99102.1] [location=complement(join(923682..924030,924334..924917))] [gbkey=CDS]",lcl|BDGG01000005.1_cds_GAU99102.1_12000,RvY_10146,hypothetical protein,GAU99102.1,RvY_10146,RvY_10146,GAU99102.1 hypothetical protein RvY_10146 [Ramazzottius varieornatus],hypothetical protein RvY_10146,TRUE,exact_gene,NA,NA,NA
RvY_13484,Instability-only,RvY_13484,"lcl|BDGG01000009.1_cds_GAV02991.1_15888 [gene=RvY_13484] [locus_tag=RvY_13484-1] [protein=hypothetical protein] [protein_id=GAV02991.1] [location=complement(join(249670..249871,249937..250096,251599..251744,252115..252386))] [gbkey=CDS]",lcl|BDGG01000009.1_cds_GAV02991.1_15888,RvY_13484-1,hypothetical protein,GAV02991.1,RvY_13484,RvY_13484,GAV02991.1 hypothetical protein RvY_13484-1 [Ramazzottius varieornatus],hypothetical protein RvY_13484-1,TRUE,exact_gene,NA,NA,NA
RvY_17613,Instability-only,RvY_17613,"lcl|BDGG01000016.1_cds_GAV07822.1_20719 [gene=RvY_17613] [locus_tag=RvY_17613-1] [protein=hypothetical protein] [protein_id=GAV07822.1] [location=complement(join(144901..145161,145232..145514,145593..145639,145904..145992,146068..146161,146301..146418,146651..146719,147660..147746,147811..148055))] [gbkey=CDS]",lcl|BDGG01000016.1_cds_GAV07822.1_20719,RvY_17613-1,hypothetical protein,GAV07822.1,RvY_17613,RvY_17613,GAV07822.1 hypothetical protein RvY_17613-1 [Ramazzottius varieornatus],hypothetical protein RvY_17613-1,TRUE,exact_gene,NA,NA,NA
RvY_17169-1,Instability-only,RvY_17169,"lcl|BDGG01000015.1_cds_GAV07323.1_20220 [gene=RvY_17169-1] [locus_tag=RvY_17169] [protein=hypothetical protein] [protein_id=GAV07323.1] [location=join(164135..164687,165212..165316,165488..166527)] [gbkey=CDS]",lcl|BDGG01000015.1_cds_GAV07323.1_20220,RvY_17169,hypothetical protein,GAV07323.1,RvY_17169,RvY_17169,GAV07323.1 hypothetical protein RvY_17169 [Ramazzottius varieornatus],hypothetical protein RvY_17169,TRUE,exact_gene,NA,NA,NA
RvY_16508-1,Instability-only,RvY_16508,"lcl|BDGG01000013.1_cds_GAV06540.1_19437 [gene=RvY_16508-1] [locus_tag=RvY_16508] [protein=hypothetical protein] [protein_id=GAV06540.1] [location=join(1403453..1403481,1403794..1404022)] [gbkey=CDS]",lcl|BDGG01000013.1_cds_GAV06540.1_19437,RvY_16508,hypothetical protein,GAV06540.1,RvY_16508,RvY_16508,GAV06540.1 hypothetical protein RvY_16508 [Ramazzottius varieornatus],hypothetical protein RvY_16508,TRUE,exact_gene,NA,NA,NA
RvY_07351-1,Instability-only,RvY_07351,"lcl|BDGG01000003.1_cds_GAU95796.1_8694 [gene=RvY_07351-1] [locus_tag=RvY_07351] [protein=hypothetical protein] [protein_id=GAU95796.1] [location=complement(join(2641597..2641964,2642022..2642064))] [gbkey=CDS]",lcl|BDGG01000003.1_cds_GAU95796.1_8694,RvY_07351,hypothetical protein,GAU95796.1,RvY_07351,RvY_07351,GAU95796.1 hypothetical protein RvY_07351 [Ramazzottius varieornatus],hypothetical protein RvY_07351,TRUE,exact_gene,NA,NA,NA
RvY_07904,Instability-only,RvY_07904,"lcl|BDGG01000003.1_cds_GAU96462.1_9360 [gene=RvY_07904] [locus_tag=RvY_07904-1] [protein=hypothetical protein] [protein_id=GAU96462.1] [location=join(4059608..4059700,4059777..4059828,4059902..4059931,4060011..4060032,4060102..4060152,4060222..4060324,4060392..4060425,4060491..4060589,4060668..4060764,4060841..4060925,4060983..4061324)] [gbkey=CDS]",lcl|BDGG01000003.1_cds_GAU96462.1_9360,RvY_07904-1,hypothetical protein,GAU96462.1,RvY_07904,RvY_07904,GAU96462.1 hypothetical protein RvY_07904-1 [Ramazzottius varieornatus],hypothetical protein RvY_07904-1,TRUE,exact_gene,NA,NA,NA
RvY_06298-1,Instability-only,RvY_06298,"lcl|BDGG01000002.1_cds_GAU94543.1_7441 [gene=RvY_06298-1] [locus_tag=RvY_06298] [protein=hypothetical protein] [protein_id=GAU94543.1] [location=complement(join(8645870..8646155,8646280..8646608))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU94543.1_7441,RvY_06298,hypothetical protein,GAU94543.1,RvY_06298,RvY_06298,GAU94543.1 hypothetical protein RvY_06298 [Ramazzottius varieornatus],hypothetical protein RvY_06298,TRUE,exact_gene,NA,NA,NA
RvY_12845-1,Instability-only,RvY_12845,lcl|BDGG01000008.1_cds_GAV02254.1_15151 [gene=RvY_12845-1] [locus_tag=RvY_12845] [protein=hypothetical protein] [protein_id=GAV02254.1] [location=complement(447078..448106)] [gbkey=CDS],lcl|BDGG01000008.1_cds_GAV02254.1_15151,RvY_12845,hypothetical protein,GAV02254.1,RvY_12845,RvY_12845,GAV02254.1 hypothetical protein RvY_12845 [Ramazzottius varieornatus],hypothetical protein RvY_12845,TRUE,exact_gene,NA,NA,NA
RvY_14824-1,Instability-only,RvY_14824,"lcl|BDGG01000011.1_cds_GAV04557.1_17454 [gene=RvY_14824-1] [locus_tag=RvY_14824] [protein=hypothetical protein] [protein_id=GAV04557.1] [location=complement(join(263779..264068,264151..264240,264306..264447,264782..264874))] [gbkey=CDS]",lcl|BDGG01000011.1_cds_GAV04557.1_17454,RvY_14824,hypothetical protein,GAV04557.1,RvY_14824,RvY_14824,GAV04557.1 hypothetical protein RvY_14824 [Ramazzottius varieornatus],hypothetical protein RvY_14824,TRUE,exact_gene,NA,NA,NA
RvY_14697-1,Instability-only,RvY_14697,lcl|BDGG01000010.1_cds_GAV04418.1_17315 [gene=RvY_14697-1] [locus_tag=RvY_14697] [protein=hypothetical protein] [protein_id=GAV04418.1] [location=1790855..1791448] [gbkey=CDS],lcl|BDGG01000010.1_cds_GAV04418.1_17315,RvY_14697,hypothetical protein,GAV04418.1,RvY_14697,RvY_14697,GAV04418.1 hypothetical protein RvY_14697 [Ramazzottius varieornatus],hypothetical protein RvY_14697,TRUE,exact_gene,NA,NA,NA
RvY_08869-1,Instability-only,RvY_08869,lcl|BDGG01000004.1_cds_GAU97596.1_10494 [gene=RvY_08869-1] [locus_tag=RvY_08869] [protein=hypothetical protein] [protein_id=GAU97596.1] [location=complement(1588076..1588381)] [gbkey=CDS],lcl|BDGG01000004.1_cds_GAU97596.1_10494,RvY_08869,hypothetical protein,GAU97596.1,RvY_08869,RvY_08869,GAU97596.1 hypothetical protein RvY_08869 [Ramazzottius varieornatus],hypothetical protein RvY_08869,TRUE,exact_gene,NA,NA,NA
RvY_04206,Instability-only,RvY_04206,"lcl|BDGG01000002.1_cds_GAU92071.1_4969 [gene=RvY_04206] [locus_tag=RvY_04206-1] [protein=hypothetical protein] [protein_id=GAU92071.1] [location=join(2333754..2333779,2333879..2333962,2334105..2334257,2334340..2334397)] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU92071.1_4969,RvY_04206-1,hypothetical protein,GAU92071.1,RvY_04206,RvY_04206,GAU92071.1 hypothetical protein RvY_04206-1 [Ramazzottius varieornatus],hypothetical protein RvY_04206-1,TRUE,exact_gene,NA,NA,NA
RvY_15840-1,Instability-only,RvY_15840,"lcl|BDGG01000012.1_cds_GAV05760.1_18657 [gene=RvY_15840-1] [locus_tag=RvY_15840] [protein=hypothetical protein] [protein_id=GAV05760.1] [location=complement(join(1284099..1284546,1284621..1284774,1284862..1284968,1285049..1285194))] [gbkey=CDS]",lcl|BDGG01000012.1_cds_GAV05760.1_18657,RvY_15840,hypothetical protein,GAV05760.1,RvY_15840,RvY_15840,GAV05760.1 hypothetical protein RvY_15840 [Ramazzottius varieornatus],hypothetical protein RvY_15840,TRUE,exact_gene,NA,NA,NA
RvY_02643,Instability-only,RvY_02643,"lcl|BDGG01000001.1_cds_GAU90190.1_3088 [gene=RvY_02643] [locus_tag=RvY_02643-1] [protein=hypothetical protein] [partial=3'] [protein_id=GAU90190.1] [location=join(7387704..7387785,7387909..7387998,7388069..7388194,7388293..>7389557)] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU90190.1_3088,RvY_02643-1,hypothetical protein,GAU90190.1,RvY_02643,RvY_02643,"GAU90190.1 hypothetical protein RvY_02643-1, partial [Ramazzottius varieornatus]","hypothetical protein RvY_02643-1, partial",TRUE,exact_gene,NA,NA,NA
RvY_16446,Instability-only,RvY_16446,"lcl|BDGG01000013.1_cds_GAV06458.1_19355 [gene=RvY_16446] [locus_tag=RvY_16446-1] [protein=hypothetical protein] [protein_id=GAV06458.1] [location=join(1215707..1215745,1215832..1215928,1216018..1216061,1216156..1216237,1216297..1216421,1216489..1216617,1216690..1216770,1216886..1217047)] [gbkey=CDS]",lcl|BDGG01000013.1_cds_GAV06458.1_19355,RvY_16446-1,hypothetical protein,GAV06458.1,RvY_16446,RvY_16446,GAV06458.1 hypothetical protein RvY_16446-1 [Ramazzottius varieornatus],hypothetical protein RvY_16446-1,TRUE,exact_gene,NA,NA,NA
RvY_05282-1,Instability-only,RvY_05282,"lcl|BDGG01000002.1_cds_GAU93322.1_6220 [gene=RvY_05282-1] [locus_tag=RvY_05282] [protein=hypothetical protein] [protein_id=GAU93322.1] [location=join(5529462..5529685,5529768..5530085,5530319..5530920,5530994..5531707,5531784..5532194,5532365..5532557,5532645..5532810,5532876..5533274)] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU93322.1_6220,RvY_05282,hypothetical protein,GAU93322.1,RvY_05282,RvY_05282,GAU93322.1 hypothetical protein RvY_05282 [Ramazzottius varieornatus],hypothetical protein RvY_05282,TRUE,exact_gene,NA,NA,NA
RvY_16695,Instability-only,RvY_16695,lcl|BDGG01000014.1_cds_GAV06762.1_19659 [gene=RvY_16695] [locus_tag=RvY_16695-3] [protein=hypothetical protein] [protein_id=GAV06762.1] [location=321583..322008] [gbkey=CDS],lcl|BDGG01000014.1_cds_GAV06762.1_19659,RvY_16695-3,hypothetical protein,GAV06762.1,RvY_16695,RvY_16695,GAV06762.1 hypothetical protein RvY_16695-3 [Ramazzottius varieornatus],hypothetical protein RvY_16695-3,TRUE,exact_gene,NA,NA,NA
RvY_07093,Instability-only,RvY_07093,"lcl|BDGG01000003.1_cds_GAU95481.1_8379 [gene=RvY_07093] [locus_tag=RvY_07093-2] [protein=hypothetical protein] [protein_id=GAU95481.1] [location=complement(join(1903816..1903868,1903932..1904090,1904173..1904323))] [gbkey=CDS]",lcl|BDGG01000003.1_cds_GAU95481.1_8379,RvY_07093-2,hypothetical protein,GAU95481.1,RvY_07093,RvY_07093,GAU95481.1 hypothetical protein RvY_07093-2 [Ramazzottius varieornatus],hypothetical protein RvY_07093-2,TRUE,exact_gene,NA,NA,NA
RvY_12836-1,Instability-only,RvY_12836,"lcl|BDGG01000008.1_cds_GAV02245.1_15142 [gene=RvY_12836-1] [locus_tag=RvY_12836] [protein=hypothetical protein] [protein_id=GAV02245.1] [location=join(427869..428072,428190..428465,428547..428636,428705..428811,428874..428962,429043..429351,429634..429962)] [gbkey=CDS]",lcl|BDGG01000008.1_cds_GAV02245.1_15142,RvY_12836,hypothetical protein,GAV02245.1,RvY_12836,RvY_12836,GAV02245.1 hypothetical protein RvY_12836 [Ramazzottius varieornatus],hypothetical protein RvY_12836,TRUE,exact_gene,NA,NA,NA
RvY_12517-1,Instability-only,RvY_12517,lcl|BDGG01000007.1_cds_GAV01878.1_14775 [gene=RvY_12517-1] [locus_tag=RvY_12517] [protein=hypothetical protein] [protein_id=GAV01878.1] [location=1883196..1883645] [gbkey=CDS],lcl|BDGG01000007.1_cds_GAV01878.1_14775,RvY_12517,hypothetical protein,GAV01878.1,RvY_12517,RvY_12517,GAV01878.1 hypothetical protein RvY_12517 [Ramazzottius varieornatus],hypothetical protein RvY_12517,TRUE,exact_gene,NA,NA,NA
RvY_17673-1,Instability-only,RvY_17673,"lcl|BDGG01000016.1_cds_GAV07893.1_20790 [gene=RvY_17673-1] [locus_tag=RvY_17673] [protein=hypothetical protein] [protein_id=GAV07893.1] [location=complement(join(397726..397769,397838..398106,398349..398721,398967..399149,399390..399511,399594..399678,399821..399925,399995..400295))] [gbkey=CDS]",lcl|BDGG01000016.1_cds_GAV07893.1_20790,RvY_17673,hypothetical protein,GAV07893.1,RvY_17673,RvY_17673,GAV07893.1 hypothetical protein RvY_17673 [Ramazzottius varieornatus],hypothetical protein RvY_17673,TRUE,exact_gene,NA,NA,NA
RvY_03476-1,Instability-only,RvY_03476,"lcl|BDGG01000002.1_cds_GAU91167.1_4065 [gene=RvY_03476-1] [locus_tag=RvY_03476] [protein=hypothetical protein] [protein_id=GAU91167.1] [location=complement(join(235697..236250,236461..236674))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91167.1_4065,RvY_03476,hypothetical protein,GAU91167.1,RvY_03476,RvY_03476,GAU91167.1 hypothetical protein RvY_03476 [Ramazzottius varieornatus],hypothetical protein RvY_03476,TRUE,exact_gene,NA,NA,NA
RvY_01840,Instability-only,RvY_01840,"lcl|BDGG01000001.1_cds_GAU89271.1_2169 [gene=RvY_01840] [locus_tag=RvY_01840-4] [protein=hypothetical protein] [protein_id=GAU89271.1] [location=complement(join(5278791..5279048,5279191..5279253,5279323..5279340))] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU89271.1_2169,RvY_01840-4,hypothetical protein,GAU89271.1,RvY_01840,RvY_01840,GAU89271.1 hypothetical protein RvY_01840-4 [Ramazzottius varieornatus],hypothetical protein RvY_01840-4,TRUE,exact_gene,NA,NA,NA
RvY_03547,Instability-only,RvY_03547,"lcl|BDGG01000002.1_cds_GAU91254.1_4152 [gene=RvY_03547] [locus_tag=RvY_03547-1] [protein=hypothetical protein] [protein_id=GAU91254.1] [location=complement(join(447042..447334,447428..447532,447601..447893,448533..448601,448753..448829,449153..449185))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91254.1_4152,RvY_03547-1,hypothetical protein,GAU91254.1,RvY_03547,RvY_03547,GAU91254.1 hypothetical protein RvY_03547-1 [Ramazzottius varieornatus],hypothetical protein RvY_03547-1,TRUE,exact_gene,NA,NA,NA
RvY_17919,Instability-only,RvY_17919,"lcl|BDGG01000017.1_cds_GAV08188.1_21085 [gene=RvY_17919] [locus_tag=RvY_17919-1] [protein=hypothetical protein] [protein_id=GAV08188.1] [location=complement(join(94848..95030,95107..95180,95247..95264,95556..95575,95648..95761,95856..96034))] [gbkey=CDS]",lcl|BDGG01000017.1_cds_GAV08188.1_21085,RvY_17919-1,hypothetical protein,GAV08188.1,RvY_17919,RvY_17919,GAV08188.1 hypothetical protein RvY_17919-1 [Ramazzottius varieornatus],hypothetical protein RvY_17919-1,TRUE,exact_gene,NA,NA,NA
RvY_04400,Instability-only,RvY_04400,"lcl|BDGG01000002.1_cds_GAU92302.1_5200 [gene=RvY_04400] [locus_tag=RvY_04400-1] [protein=hypothetical protein] [protein_id=GAU92302.1] [location=complement(join(2907981..2908317,2908376..2908507,2908587..2908635,2908693..2908779,2908927..2909009,2909076..2909152,2909237..2909275))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU92302.1_5200,RvY_04400-1,hypothetical protein,GAU92302.1,RvY_04400,RvY_04400,GAU92302.1 hypothetical protein RvY_04400-1 [Ramazzottius varieornatus],hypothetical protein RvY_04400-1,TRUE,exact_gene,NA,NA,NA
RvY_00941-1,Instability-only,RvY_00941,"lcl|BDGG01000001.1_cds_GAU88198.1_1096 [gene=RvY_00941-1] [locus_tag=RvY_00941] [protein=hypothetical protein] [protein_id=GAU88198.1] [location=join(2607192..2607578,2607635..2608189)] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU88198.1_1096,RvY_00941,hypothetical protein,GAU88198.1,RvY_00941,RvY_00941,GAU88198.1 hypothetical protein RvY_00941 [Ramazzottius varieornatus],hypothetical protein RvY_00941,TRUE,exact_gene,NA,NA,NA
RvY_09765-1,Instability-only,RvY_09765,"lcl|BDGG01000004.1_cds_GAU98646.1_11544 [gene=RvY_09765-1] [locus_tag=RvY_09765] [protein=hypothetical protein] [protein_id=GAU98646.1] [location=join(4501854..4501926,4502004..4502291,4502421..4502690,4502753..4503022,4503295..4503631,4503701..4503897,4504274..4504482,4504648..4504702,4504811..4505132,4505330..4505578,4505687..4506024,4506089..4506357)] [gbkey=CDS]",lcl|BDGG01000004.1_cds_GAU98646.1_11544,RvY_09765,hypothetical protein,GAU98646.1,RvY_09765,RvY_09765,GAU98646.1 hypothetical protein RvY_09765 [Ramazzottius varieornatus],hypothetical protein RvY_09765,TRUE,exact_gene,NA,NA,NA
RvY_15640-1,Instability-only,RvY_15640,"lcl|BDGG01000012.1_cds_GAV05520.1_18417 [gene=RvY_15640-1] [locus_tag=RvY_15640] [protein=hypothetical protein] [protein_id=GAV05520.1] [location=join(757124..757275,757575..757709,757790..758103,758192..758283,758378..758473,758545..758723,758801..759314,759383..759551,759774..759919,759990..760213,760285..760531)] [gbkey=CDS]",lcl|BDGG01000012.1_cds_GAV05520.1_18417,RvY_15640,hypothetical protein,GAV05520.1,RvY_15640,RvY_15640,GAV05520.1 hypothetical protein RvY_15640 [Ramazzottius varieornatus],hypothetical protein RvY_15640,TRUE,exact_gene,NA,NA,NA
RvY_12270-1,Instability-only,RvY_12270,"lcl|BDGG01000007.1_cds_GAV01581.1_14478 [gene=RvY_12270-1] [locus_tag=RvY_12270] [protein=hypothetical protein] [protein_id=GAV01581.1] [location=complement(join(1218752..1219003,1219069..1219221,1219469..1219837,1219918..1220049,1220173..1220356,1220669..1220766,1220944..1221042))] [gbkey=CDS]",lcl|BDGG01000007.1_cds_GAV01581.1_14478,RvY_12270,hypothetical protein,GAV01581.1,RvY_12270,RvY_12270,GAV01581.1 hypothetical protein RvY_12270 [Ramazzottius varieornatus],hypothetical protein RvY_12270,TRUE,exact_gene,NA,NA,NA
RvY_19358-1,Instability-only,RvY_19358,"lcl|BDGG01000042.1_cds_GAV09891.1_22788 [gene=RvY_19358-1] [locus_tag=RvY_19358] [protein=hypothetical protein] [protein_id=GAV09891.1] [location=complement(join(1651..1737,2032..2343))] [gbkey=CDS]",lcl|BDGG01000042.1_cds_GAV09891.1_22788,RvY_19358,hypothetical protein,GAV09891.1,RvY_19358,RvY_19358,GAV09891.1 hypothetical protein RvY_19358 [Ramazzottius varieornatus],hypothetical protein RvY_19358,TRUE,exact_gene,NA,NA,NA
RvY_04048,Instability-only,RvY_04048,"lcl|BDGG01000002.1_cds_GAU91871.1_4769 [gene=RvY_04048] [locus_tag=RvY_04048-1] [protein=hypothetical protein] [protein_id=GAU91871.1] [location=join(1881644..1881713,1881790..1881860,1881969..1882272,1882333..1882514)] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91871.1_4769,RvY_04048-1,hypothetical protein,GAU91871.1,RvY_04048,RvY_04048,GAU91871.1 hypothetical protein RvY_04048-1 [Ramazzottius varieornatus],hypothetical protein RvY_04048-1,TRUE,exact_gene,NA,NA,NA
RvY_09162-1,Instability-only,RvY_09162,"lcl|BDGG01000004.1_cds_GAU97944.1_10842 [gene=RvY_09162-1] [locus_tag=RvY_09162] [protein=hypothetical protein] [protein_id=GAU97944.1] [location=complement(join(2477074..2477096,2477172..2477217,2477288..2477358,2477430..2477493,2477590..2477651,2477731..2477823,2477908..2478073,2478135..2478341,2478417..2478553,2481667..2481717,2482116..2482173))] [gbkey=CDS]",lcl|BDGG01000004.1_cds_GAU97944.1_10842,RvY_09162,hypothetical protein,GAU97944.1,RvY_09162,RvY_09162,GAU97944.1 hypothetical protein RvY_09162 [Ramazzottius varieornatus],hypothetical protein RvY_09162,TRUE,exact_gene,NA,NA,NA
RvY_00844-1,Instability-only,RvY_00844,"lcl|BDGG01000001.1_cds_GAU88083.1_981 [gene=RvY_00844-1] [locus_tag=RvY_00844] [protein=hypothetical protein] [protein_id=GAU88083.1] [location=complement(join(2370122..2370456,2370661..2370838))] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU88083.1_981,RvY_00844,hypothetical protein,GAU88083.1,RvY_00844,RvY_00844,GAU88083.1 hypothetical protein RvY_00844 [Ramazzottius varieornatus],hypothetical protein RvY_00844,TRUE,exact_gene,NA,NA,NA
RvY_08684-1,Instability-only,RvY_08684,"lcl|BDGG01000004.1_cds_GAU97372.1_10270 [gene=RvY_08684-1] [locus_tag=RvY_08684] [protein=hypothetical protein] [protein_id=GAU97372.1] [location=complement(join(1022132..1022188,1022286..1022417))] [gbkey=CDS]",lcl|BDGG01000004.1_cds_GAU97372.1_10270,RvY_08684,hypothetical protein,GAU97372.1,RvY_08684,RvY_08684,GAU97372.1 hypothetical protein RvY_08684 [Ramazzottius varieornatus],hypothetical protein RvY_08684,TRUE,exact_gene,NA,NA,NA
RvY_09669-1,Instability-only,RvY_09669,lcl|BDGG01000004.1_cds_GAU98537.1_11435 [gene=RvY_09669-1] [locus_tag=RvY_09669] [protein=hypothetical protein] [protein_id=GAU98537.1] [location=4135580..4135816] [gbkey=CDS],lcl|BDGG01000004.1_cds_GAU98537.1_11435,RvY_09669,hypothetical protein,GAU98537.1,RvY_09669,RvY_09669,GAU98537.1 hypothetical protein RvY_09669 [Ramazzottius varieornatus],hypothetical protein RvY_09669,TRUE,exact_gene,NA,NA,NA
