cds_header,cds_seqname,gene,locus_tag,protein_desc_from_cds,protein_id,gene_base,locus_base,protein_header,protein_desc_from_protein,protein_present_in_faa
"lcl|BDGG01000002.1_cds_GAU91914.1_4812 [gene=RvY_04080] [locus_tag=RvY_04080-2] [protein=hypothetical protein] [protein_id=GAU91914.1] [location=join(1977490..1977730,1977804..1977922)] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91914.1_4812,RvY_04080,RvY_04080-2,hypothetical protein,GAU91914.1,RvY_04080,RvY_04080,GAU91914.1 hypothetical protein RvY_04080-2 [Ramazzottius varieornatus],hypothetical protein RvY_04080-2,TRUE
lcl|BDGG01000002.1_cds_GAU91915.1_4813 [gene=RvY_04081-1] [locus_tag=RvY_04081] [protein=hypothetical protein] [protein_id=GAU91915.1] [location=1978452..1978757] [gbkey=CDS],lcl|BDGG01000002.1_cds_GAU91915.1_4813,RvY_04081-1,RvY_04081,hypothetical protein,GAU91915.1,RvY_04081,RvY_04081,GAU91915.1 hypothetical protein RvY_04081 [Ramazzottius varieornatus],hypothetical protein RvY_04081,TRUE
"lcl|BDGG01000002.1_cds_GAU91916.1_4814 [gene=RvY_04082-1] [locus_tag=RvY_04082] [protein=hypothetical protein] [protein_id=GAU91916.1] [location=complement(join(1981086..1981352,1981546..1981970,1982047..1982197))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91916.1_4814,RvY_04082-1,RvY_04082,hypothetical protein,GAU91916.1,RvY_04082,RvY_04082,GAU91916.1 hypothetical protein RvY_04082 [Ramazzottius varieornatus],hypothetical protein RvY_04082,TRUE
"lcl|BDGG01000002.1_cds_GAU91917.1_4815 [gene=RvY_04083-1] [locus_tag=RvY_04083] [protein=hypothetical protein] [protein_id=GAU91917.1] [location=join(1984589..1984706,1985766..1985965)] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91917.1_4815,RvY_04083-1,RvY_04083,hypothetical protein,GAU91917.1,RvY_04083,RvY_04083,GAU91917.1 hypothetical protein RvY_04083 [Ramazzottius varieornatus],hypothetical protein RvY_04083,TRUE
"lcl|BDGG01000002.1_cds_GAU91918.1_4816 [gene=RvY_04084] [locus_tag=RvY_04084-4] [protein=hypothetical protein] [protein_id=GAU91918.1] [location=complement(join(1987042..1987095,1987197..1987312,1987398..1987447,1987518..1987551,1987756..1987903,1988151..1988370,1988515..1989158,1989229..1989402))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91918.1_4816,RvY_04084,RvY_04084-4,hypothetical protein,GAU91918.1,RvY_04084,RvY_04084,GAU91918.1 hypothetical protein RvY_04084-4 [Ramazzottius varieornatus],hypothetical protein RvY_04084-4,TRUE
"lcl|BDGG01000002.1_cds_GAU91919.1_4817 [gene=RvY_04084] [locus_tag=RvY_04084-1] [protein=hypothetical protein] [protein_id=GAU91919.1] [location=complement(join(1988511..1989158,1989229..1989436,1989518..1989726,1989955..1990128,1990227..1990277,1990364..1990501,1990571..1990648,1990726..1990764,1990846..1990848))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91919.1_4817,RvY_04084,RvY_04084-1,hypothetical protein,GAU91919.1,RvY_04084,RvY_04084,GAU91919.1 hypothetical protein RvY_04084-1 [Ramazzottius varieornatus],hypothetical protein RvY_04084-1,TRUE
"lcl|BDGG01000002.1_cds_GAU91920.1_4818 [gene=RvY_04084] [locus_tag=RvY_04084-2] [protein=hypothetical protein] [protein_id=GAU91920.1] [location=complement(join(1988511..1989158,1989229..1989436,1989518..1989726,1989955..1990128,1990227..1990277,1990364..1990501,1990571..1990648,1990726..1990743))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91920.1_4818,RvY_04084,RvY_04084-2,hypothetical protein,GAU91920.1,RvY_04084,RvY_04084,GAU91920.1 hypothetical protein RvY_04084-2 [Ramazzottius varieornatus],hypothetical protein RvY_04084-2,TRUE
"lcl|BDGG01000002.1_cds_GAU91921.1_4819 [gene=RvY_04084] [locus_tag=RvY_04084-3] [protein=hypothetical protein] [protein_id=GAU91921.1] [location=complement(join(1988511..1989158,1989229..1989436,1989518..1989726,1989955..1990128,1990227..1990277,1990364..1990501,1990571..1990642))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91921.1_4819,RvY_04084,RvY_04084-3,hypothetical protein,GAU91921.1,RvY_04084,RvY_04084,GAU91921.1 hypothetical protein RvY_04084-3 [Ramazzottius varieornatus],hypothetical protein RvY_04084-3,TRUE
"lcl|BDGG01000002.1_cds_GAU91922.1_4820 [gene=RvY_04084] [locus_tag=RvY_04084-5] [protein=hypothetical protein] [protein_id=GAU91922.1] [location=complement(join(1988511..1989158,1989229..1989436,1989518..1989726,1989955..1990128,1990227..1990247))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91922.1_4820,RvY_04084,RvY_04084-5,hypothetical protein,GAU91922.1,RvY_04084,RvY_04084,GAU91922.1 hypothetical protein RvY_04084-5 [Ramazzottius varieornatus],hypothetical protein RvY_04084-5,TRUE
"lcl|BDGG01000002.1_cds_GAU91923.1_4821 [gene=RvY_04084] [locus_tag=RvY_04084-6] [protein=hypothetical protein] [protein_id=GAU91923.1] [location=complement(join(1990372..1990501,1990571..1990764,1990846..1990889,1990975..1991301,1991366..1991407,1992313..1992697))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91923.1_4821,RvY_04084,RvY_04084-6,hypothetical protein,GAU91923.1,RvY_04084,RvY_04084,GAU91923.1 hypothetical protein RvY_04084-6 [Ramazzottius varieornatus],hypothetical protein RvY_04084-6,TRUE
"lcl|BDGG01000002.1_cds_GAU91924.1_4822 [gene=RvY_04085-1] [locus_tag=RvY_04085] [protein=hypothetical protein] [protein_id=GAU91924.1] [location=join(1994696..1994716,1994797..1994941,1995406..1995867,1995948..1996056,1996366..1996999)] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91924.1_4822,RvY_04085-1,RvY_04085,hypothetical protein,GAU91924.1,RvY_04085,RvY_04085,GAU91924.1 hypothetical protein RvY_04085 [Ramazzottius varieornatus],hypothetical protein RvY_04085,TRUE
"lcl|BDGG01000002.1_cds_GAU91925.1_4823 [gene=RvY_04086] [locus_tag=RvY_04086-1] [protein=hypothetical protein] [protein_id=GAU91925.1] [location=complement(join(1997249..1997315,1997417..1997519,1997595..1997742,1998002..1998305,1998649..1999200,1999267..1999348,1999590..1999794))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91925.1_4823,RvY_04086,RvY_04086-1,hypothetical protein,GAU91925.1,RvY_04086,RvY_04086,GAU91925.1 hypothetical protein RvY_04086-1 [Ramazzottius varieornatus],hypothetical protein RvY_04086-1,TRUE
"lcl|BDGG01000002.1_cds_GAU91926.1_4824 [gene=RvY_04086] [locus_tag=RvY_04086-2] [protein=hypothetical protein] [protein_id=GAU91926.1] [location=complement(join(1997249..1997315,1997417..1997519,1997595..1997742,1998002..1998305,1998649..1999200,1999267..1999298))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91926.1_4824,RvY_04086,RvY_04086-2,hypothetical protein,GAU91926.1,RvY_04086,RvY_04086,GAU91926.1 hypothetical protein RvY_04086-2 [Ramazzottius varieornatus],hypothetical protein RvY_04086-2,TRUE
"lcl|BDGG01000002.1_cds_GAU91927.1_4825 [gene=RvY_04086] [locus_tag=RvY_04086-3] [protein=hypothetical protein] [protein_id=GAU91927.1] [location=complement(join(1997249..1997315,1997417..1997519,1997595..1997742,1998002..1998305,1998649..1999178))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91927.1_4825,RvY_04086,RvY_04086-3,hypothetical protein,GAU91927.1,RvY_04086,RvY_04086,GAU91927.1 hypothetical protein RvY_04086-3 [Ramazzottius varieornatus],hypothetical protein RvY_04086-3,TRUE
"lcl|BDGG01000002.1_cds_GAU91928.1_4826 [gene=RvY_04086] [locus_tag=RvY_04086-4] [protein=hypothetical protein] [protein_id=GAU91928.1] [location=complement(join(1999769,1999838..1999873,1999951..2000498,2000571..2000771))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91928.1_4826,RvY_04086,RvY_04086-4,hypothetical protein,GAU91928.1,RvY_04086,RvY_04086,GAU91928.1 hypothetical protein RvY_04086-4 [Ramazzottius varieornatus],hypothetical protein RvY_04086-4,TRUE
lcl|BDGG01000002.1_cds_GAU91929.1_4827 [gene=RvY_04087-1] [locus_tag=RvY_04087] [protein=hypothetical protein] [partial=3'] [protein_id=GAU91929.1] [location=2000780..>2001079] [gbkey=CDS],lcl|BDGG01000002.1_cds_GAU91929.1_4827,RvY_04087-1,RvY_04087,hypothetical protein,GAU91929.1,RvY_04087,RvY_04087,"GAU91929.1 hypothetical protein RvY_04087, partial [Ramazzottius varieornatus]","hypothetical protein RvY_04087, partial",TRUE
"lcl|BDGG01000002.1_cds_GAU91930.1_4828 [gene=RvY_04088-1] [locus_tag=RvY_04088] [protein=hypothetical protein] [protein_id=GAU91930.1] [location=complement(join(2002904..2003043,2003119..2003170,2003242..2003374,2003441..2003479,2003554..2003618,2003675..2003761,2003845..2003905,2003982..2004038,2004108..2004190))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91930.1_4828,RvY_04088-1,RvY_04088,hypothetical protein,GAU91930.1,RvY_04088,RvY_04088,GAU91930.1 hypothetical protein RvY_04088 [Ramazzottius varieornatus],hypothetical protein RvY_04088,TRUE
"lcl|BDGG01000002.1_cds_GAU91931.1_4829 [gene=RvY_04089-1] [locus_tag=RvY_04089] [protein=hypothetical protein] [protein_id=GAU91931.1] [location=complement(join(2005064..2005221,2005589..2005640,2005775..2005907,2006125..2006163,2006266..2006378,2006454..2006621,2006681..2006741,2006883..2006945,2007040..2007157,2007319..2007382,2007720..2007773,2008096..2008119))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91931.1_4829,RvY_04089-1,RvY_04089,hypothetical protein,GAU91931.1,RvY_04089,RvY_04089,GAU91931.1 hypothetical protein RvY_04089 [Ramazzottius varieornatus],hypothetical protein RvY_04089,TRUE
lcl|BDGG01000002.1_cds_GAU91932.1_4830 [gene=RvY_04090-1] [locus_tag=RvY_04090] [protein=hypothetical protein] [partial=3'] [protein_id=GAU91932.1] [location=2007177..>2007365] [gbkey=CDS],lcl|BDGG01000002.1_cds_GAU91932.1_4830,RvY_04090-1,RvY_04090,hypothetical protein,GAU91932.1,RvY_04090,RvY_04090,"GAU91932.1 hypothetical protein RvY_04090, partial [Ramazzottius varieornatus]","hypothetical protein RvY_04090, partial",TRUE
"lcl|BDGG01000002.1_cds_GAU91933.1_4831 [gene=RvY_04091-1] [locus_tag=RvY_04091] [protein=hypothetical protein] [protein_id=GAU91933.1] [location=complement(join(2009090..2009160,2009221..2009311,2009392..2009827,2010096..2010270,2010332..2010643,2010706..2010961))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91933.1_4831,RvY_04091-1,RvY_04091,hypothetical protein,GAU91933.1,RvY_04091,RvY_04091,GAU91933.1 hypothetical protein RvY_04091 [Ramazzottius varieornatus],hypothetical protein RvY_04091,TRUE
"lcl|BDGG01000002.1_cds_GAU91934.1_4832 [gene=RvY_04092] [locus_tag=RvY_04092-2] [protein=hypothetical protein] [protein_id=GAU91934.1] [location=complement(join(2012452..2012724,2012919..2013561,2013821..2013876))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91934.1_4832,RvY_04092,RvY_04092-2,hypothetical protein,GAU91934.1,RvY_04092,RvY_04092,GAU91934.1 hypothetical protein RvY_04092-2 [Ramazzottius varieornatus],hypothetical protein RvY_04092-2,TRUE
"lcl|BDGG01000002.1_cds_GAU91935.1_4833 [gene=RvY_04092] [locus_tag=RvY_04092-1] [protein=hypothetical protein] [protein_id=GAU91935.1] [location=complement(join(2012452..2012724,2012919..2013638))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91935.1_4833,RvY_04092,RvY_04092-1,hypothetical protein,GAU91935.1,RvY_04092,RvY_04092,GAU91935.1 hypothetical protein RvY_04092-1 [Ramazzottius varieornatus],hypothetical protein RvY_04092-1,TRUE
"lcl|BDGG01000002.1_cds_GAU91936.1_4834 [gene=RvY_04093-1] [locus_tag=RvY_04093] [protein=hypothetical protein] [protein_id=GAU91936.1] [location=complement(join(2014172..2014234,2017115..2017165))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91936.1_4834,RvY_04093-1,RvY_04093,hypothetical protein,GAU91936.1,RvY_04093,RvY_04093,GAU91936.1 hypothetical protein RvY_04093 [Ramazzottius varieornatus],hypothetical protein RvY_04093,TRUE
lcl|BDGG01000002.1_cds_GAU91937.1_4835 [gene=RvY_04094-1] [locus_tag=RvY_04094] [protein=hypothetical protein] [protein_id=GAU91937.1] [location=2017927..2018154] [gbkey=CDS],lcl|BDGG01000002.1_cds_GAU91937.1_4835,RvY_04094-1,RvY_04094,hypothetical protein,GAU91937.1,RvY_04094,RvY_04094,GAU91937.1 hypothetical protein RvY_04094 [Ramazzottius varieornatus],hypothetical protein RvY_04094,TRUE
lcl|BDGG01000002.1_cds_GAU91938.1_4836 [gene=RvY_04095-1] [locus_tag=RvY_04095] [protein=hypothetical protein] [protein_id=GAU91938.1] [location=2020217..2021299] [gbkey=CDS],lcl|BDGG01000002.1_cds_GAU91938.1_4836,RvY_04095-1,RvY_04095,hypothetical protein,GAU91938.1,RvY_04095,RvY_04095,GAU91938.1 hypothetical protein RvY_04095 [Ramazzottius varieornatus],hypothetical protein RvY_04095,TRUE
"lcl|BDGG01000002.1_cds_GAU91939.1_4837 [gene=RvY_04096-1] [locus_tag=RvY_04096] [protein=hypothetical protein] [protein_id=GAU91939.1] [location=complement(join(2021499..2021612,2021668..2021919,2021979..2022275,2022489..2022973,2023235..2023477,2023666..2024112,2024256..2024589,2024655..2025105,2026180..2026501,2026561..2026905,2027208..2027784,2028064..2028545,2028748..2028892,2028957..2029379,2029746..2030018,2030076..2030418,2030660..2031131,2031460..2031690,2032065..2032466,2032770..2033113,2033195..2033289))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91939.1_4837,RvY_04096-1,RvY_04096,hypothetical protein,GAU91939.1,RvY_04096,RvY_04096,GAU91939.1 hypothetical protein RvY_04096 [Ramazzottius varieornatus],hypothetical protein RvY_04096,TRUE
"lcl|BDGG01000002.1_cds_GAU91940.1_4838 [gene=RvY_04097] [locus_tag=RvY_04097-2] [protein=hypothetical protein] [protein_id=GAU91940.1] [location=complement(join(2034112..2034254,2034321..2034558,2034922..2035356,2035617..2035771,2035828..2036152,2036319..2036507,2036591..2036677,2036751..2036861,2036942..2037127))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91940.1_4838,RvY_04097,RvY_04097-2,hypothetical protein,GAU91940.1,RvY_04097,RvY_04097,GAU91940.1 hypothetical protein RvY_04097-2 [Ramazzottius varieornatus],hypothetical protein RvY_04097-2,TRUE
"lcl|BDGG01000002.1_cds_GAU91941.1_4839 [gene=RvY_04097] [locus_tag=RvY_04097-1] [protein=hypothetical protein] [protein_id=GAU91941.1] [location=complement(join(2037121..2037355,2037420..2037569,2037892..2037953,2038131..2038157,2038265..2038336,2038618..2038705,2038775..2038941,2039016..2039492,2039823..2040100,2040278..2040836,2041040..2041172,2041240..2041536,2041798..2042086,2042428..2042866,2043300..2043405,2043522..2043747,2043822..2043920,2044038..2044050))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91941.1_4839,RvY_04097,RvY_04097-1,hypothetical protein,GAU91941.1,RvY_04097,RvY_04097,GAU91941.1 hypothetical protein RvY_04097-1 [Ramazzottius varieornatus],hypothetical protein RvY_04097-1,TRUE
"lcl|BDGG01000002.1_cds_GAU91942.1_4840 [gene=RvY_04098-1] [locus_tag=RvY_04098] [protein=hypothetical protein] [protein_id=GAU91942.1] [location=join(2045795..2045992,2046063..2046103,2048403..2048545,2048618..2049015,2049152..2049635,2049847..2050214)] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91942.1_4840,RvY_04098-1,RvY_04098,hypothetical protein,GAU91942.1,RvY_04098,RvY_04098,GAU91942.1 hypothetical protein RvY_04098 [Ramazzottius varieornatus],hypothetical protein RvY_04098,TRUE
"lcl|BDGG01000002.1_cds_GAU91943.1_4841 [gene=RvY_04099-1] [locus_tag=RvY_04099] [protein=hypothetical protein] [protein_id=GAU91943.1] [location=join(2050845..2051067,2051135..2051518,2051606..2051673)] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91943.1_4841,RvY_04099-1,RvY_04099,hypothetical protein,GAU91943.1,RvY_04099,RvY_04099,GAU91943.1 hypothetical protein RvY_04099 [Ramazzottius varieornatus],hypothetical protein RvY_04099,TRUE
lcl|BDGG01000002.1_cds_GAU91944.1_4842 [gene=RvY_04100-1] [locus_tag=RvY_04100] [protein=hypothetical protein] [protein_id=GAU91944.1] [location=complement(2051843..2052097)] [gbkey=CDS],lcl|BDGG01000002.1_cds_GAU91944.1_4842,RvY_04100-1,RvY_04100,hypothetical protein,GAU91944.1,RvY_04100,RvY_04100,GAU91944.1 hypothetical protein RvY_04100 [Ramazzottius varieornatus],hypothetical protein RvY_04100,TRUE
"lcl|BDGG01000002.1_cds_GAU91945.1_4843 [gene=RvY_04101-1] [locus_tag=RvY_04101] [protein=hypothetical protein] [protein_id=GAU91945.1] [location=complement(join(2052201..2052722,2052891..2053042,2053255..2053416,2053486..2053705,2053890..2053977,2054092..2054165,2054247..2054409,2054661..2055155,2055355..2055608,2055670..2056148,2056345..2056477,2056594..2056650))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91945.1_4843,RvY_04101-1,RvY_04101,hypothetical protein,GAU91945.1,RvY_04101,RvY_04101,GAU91945.1 hypothetical protein RvY_04101 [Ramazzottius varieornatus],hypothetical protein RvY_04101,TRUE
"lcl|BDGG01000002.1_cds_GAU91946.1_4844 [gene=RvY_04102-1] [locus_tag=RvY_04102] [protein=hypothetical protein] [protein_id=GAU91946.1] [location=complement(join(2058783..2059211,2059737..2059855,2060014..2060120,2060465..2060731,2060828..2060991))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91946.1_4844,RvY_04102-1,RvY_04102,hypothetical protein,GAU91946.1,RvY_04102,RvY_04102,GAU91946.1 hypothetical protein RvY_04102 [Ramazzottius varieornatus],hypothetical protein RvY_04102,TRUE
"lcl|BDGG01000002.1_cds_GAU91947.1_4845 [gene=RvY_04103-1] [locus_tag=RvY_04103] [protein=hypothetical protein] [protein_id=GAU91947.1] [location=complement(join(2064401..2064726,2064791..2065108,2065471..2065597,2065658..2065953,2066025..2066133))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91947.1_4845,RvY_04103-1,RvY_04103,hypothetical protein,GAU91947.1,RvY_04103,RvY_04103,GAU91947.1 hypothetical protein RvY_04103 [Ramazzottius varieornatus],hypothetical protein RvY_04103,TRUE
"lcl|BDGG01000002.1_cds_GAU91948.1_4846 [gene=RvY_04104-1] [locus_tag=RvY_04104] [protein=hypothetical protein] [protein_id=GAU91948.1] [location=complement(join(2067757..2068078,2068391..2068767))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91948.1_4846,RvY_04104-1,RvY_04104,hypothetical protein,GAU91948.1,RvY_04104,RvY_04104,GAU91948.1 hypothetical protein RvY_04104 [Ramazzottius varieornatus],hypothetical protein RvY_04104,TRUE
"lcl|BDGG01000002.1_cds_GAU91949.1_4847 [gene=RvY_04105-1] [locus_tag=RvY_04105] [protein=hypothetical protein] [protein_id=GAU91949.1] [location=join(2069682..2069863,2070087..2070257,2070492..2070547,2070607..2070751,2070819..2070978,2071138..2071300,2071359..2071624,2071841..2072002,2072072..2072272,2072401..2072485,2072552..2072673)] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91949.1_4847,RvY_04105-1,RvY_04105,hypothetical protein,GAU91949.1,RvY_04105,RvY_04105,GAU91949.1 hypothetical protein RvY_04105 [Ramazzottius varieornatus],hypothetical protein RvY_04105,TRUE
"lcl|BDGG01000002.1_cds_GAU91950.1_4848 [gene=RvY_04106-1] [locus_tag=RvY_04106] [protein=hypothetical protein] [protein_id=GAU91950.1] [location=complement(join(2073187..2073700,2073892..2073921,2074003..2074040,2074440..2074683,2074884..2074897))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91950.1_4848,RvY_04106-1,RvY_04106,hypothetical protein,GAU91950.1,RvY_04106,RvY_04106,GAU91950.1 hypothetical protein RvY_04106 [Ramazzottius varieornatus],hypothetical protein RvY_04106,TRUE
lcl|BDGG01000002.1_cds_GAU91951.1_4849 [gene=RvY_04107-1] [locus_tag=RvY_04107] [protein=hypothetical protein] [protein_id=GAU91951.1] [location=2076959..2077285] [gbkey=CDS],lcl|BDGG01000002.1_cds_GAU91951.1_4849,RvY_04107-1,RvY_04107,hypothetical protein,GAU91951.1,RvY_04107,RvY_04107,GAU91951.1 hypothetical protein RvY_04107 [Ramazzottius varieornatus],hypothetical protein RvY_04107,TRUE
lcl|BDGG01000002.1_cds_GAU91952.1_4850 [gene=RvY_04108-1] [locus_tag=RvY_04108] [protein=hypothetical protein] [protein_id=GAU91952.1] [location=2077299..2077523] [gbkey=CDS],lcl|BDGG01000002.1_cds_GAU91952.1_4850,RvY_04108-1,RvY_04108,hypothetical protein,GAU91952.1,RvY_04108,RvY_04108,GAU91952.1 hypothetical protein RvY_04108 [Ramazzottius varieornatus],hypothetical protein RvY_04108,TRUE
"lcl|BDGG01000002.1_cds_GAU91953.1_4851 [gene=RvY_04109-1] [locus_tag=RvY_04109] [protein=hypothetical protein] [protein_id=GAU91953.1] [location=complement(join(2079396..2079948,2080276..2080568))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91953.1_4851,RvY_04109-1,RvY_04109,hypothetical protein,GAU91953.1,RvY_04109,RvY_04109,GAU91953.1 hypothetical protein RvY_04109 [Ramazzottius varieornatus],hypothetical protein RvY_04109,TRUE
"lcl|BDGG01000002.1_cds_GAU91954.1_4852 [gene=RvY_04110-1] [locus_tag=RvY_04110] [protein=hypothetical protein] [protein_id=GAU91954.1] [location=complement(join(2081390..2081638,2081867..2082070,2082177..2082458,2082528..2082736,2082980..2083109,2083174..2083329,2083399..2083567,2083869..2084379,2084636..2085818,2086122..2086601,2087032..2087205,2087275..2087436))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91954.1_4852,RvY_04110-1,RvY_04110,hypothetical protein,GAU91954.1,RvY_04110,RvY_04110,GAU91954.1 hypothetical protein RvY_04110 [Ramazzottius varieornatus],hypothetical protein RvY_04110,TRUE
"lcl|BDGG01000002.1_cds_GAU91955.1_4853 [gene=RvY_04111-1] [locus_tag=RvY_04111] [protein=hypothetical protein] [protein_id=GAU91955.1] [location=join(2088087..2088217,2088282..2088390,2088495..2089067,2089142..2089422,2089695..2089927,2089990..2090168)] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91955.1_4853,RvY_04111-1,RvY_04111,hypothetical protein,GAU91955.1,RvY_04111,RvY_04111,GAU91955.1 hypothetical protein RvY_04111 [Ramazzottius varieornatus],hypothetical protein RvY_04111,TRUE
lcl|BDGG01000002.1_cds_GAU91956.1_4854 [gene=RvY_04112-1] [locus_tag=RvY_04112] [protein=hypothetical protein] [protein_id=GAU91956.1] [location=complement(2092048..2092266)] [gbkey=CDS],lcl|BDGG01000002.1_cds_GAU91956.1_4854,RvY_04112-1,RvY_04112,hypothetical protein,GAU91956.1,RvY_04112,RvY_04112,GAU91956.1 hypothetical protein RvY_04112 [Ramazzottius varieornatus],hypothetical protein RvY_04112,TRUE
"lcl|BDGG01000002.1_cds_GAU91957.1_4855 [gene=RvY_04113-1] [locus_tag=RvY_04113] [protein=hypothetical protein] [protein_id=GAU91957.1] [location=join(2092430..2092504,2092597..2092740,2092827..2092937,2093013..2093081,2093311..2093364)] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91957.1_4855,RvY_04113-1,RvY_04113,hypothetical protein,GAU91957.1,RvY_04113,RvY_04113,GAU91957.1 hypothetical protein RvY_04113 [Ramazzottius varieornatus],hypothetical protein RvY_04113,TRUE
lcl|BDGG01000002.1_cds_GAU91958.1_4856 [gene=RvY_04114-1] [locus_tag=RvY_04114] [protein=hypothetical protein] [protein_id=GAU91958.1] [location=2093509..2093871] [gbkey=CDS],lcl|BDGG01000002.1_cds_GAU91958.1_4856,RvY_04114-1,RvY_04114,hypothetical protein,GAU91958.1,RvY_04114,RvY_04114,GAU91958.1 hypothetical protein RvY_04114 [Ramazzottius varieornatus],hypothetical protein RvY_04114,TRUE
"lcl|BDGG01000002.1_cds_GAU91959.1_4857 [gene=RvY_04115-1] [locus_tag=RvY_04115] [protein=hypothetical protein] [protein_id=GAU91959.1] [location=complement(join(2093918..2094417,2094607..2094976,2095162..2095305,2095383..2095562,2095672..2095809))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91959.1_4857,RvY_04115-1,RvY_04115,hypothetical protein,GAU91959.1,RvY_04115,RvY_04115,GAU91959.1 hypothetical protein RvY_04115 [Ramazzottius varieornatus],hypothetical protein RvY_04115,TRUE
lcl|BDGG01000002.1_cds_GAU91960.1_4858 [gene=RvY_04116-1] [locus_tag=RvY_04116] [protein=hypothetical protein] [protein_id=GAU91960.1] [location=2097051..2097431] [gbkey=CDS],lcl|BDGG01000002.1_cds_GAU91960.1_4858,RvY_04116-1,RvY_04116,hypothetical protein,GAU91960.1,RvY_04116,RvY_04116,GAU91960.1 hypothetical protein RvY_04116 [Ramazzottius varieornatus],hypothetical protein RvY_04116,TRUE
"lcl|BDGG01000002.1_cds_GAU91961.1_4859 [gene=RvY_04117-1] [locus_tag=RvY_04117] [protein=hypothetical protein] [protein_id=GAU91961.1] [location=join(2098244..2098393,2098465..2098672,2098738..2098811)] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91961.1_4859,RvY_04117-1,RvY_04117,hypothetical protein,GAU91961.1,RvY_04117,RvY_04117,GAU91961.1 hypothetical protein RvY_04117 [Ramazzottius varieornatus],hypothetical protein RvY_04117,TRUE
"lcl|BDGG01000002.1_cds_GAU91962.1_4860 [gene=RvY_04118] [locus_tag=RvY_04118-1] [protein=hypothetical protein] [protein_id=GAU91962.1] [location=complement(join(2099587..2099790,2099875..2099991,2100178..2100301,2100438..2100562))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91962.1_4860,RvY_04118,RvY_04118-1,hypothetical protein,GAU91962.1,RvY_04118,RvY_04118,GAU91962.1 hypothetical protein RvY_04118-1 [Ramazzottius varieornatus],hypothetical protein RvY_04118-1,TRUE
"lcl|BDGG01000002.1_cds_GAU91963.1_4861 [gene=RvY_04118] [locus_tag=RvY_04118-2] [protein=hypothetical protein] [protein_id=GAU91963.1] [location=complement(join(2099587..2099790,2099875..2099991,2100178..2100219))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91963.1_4861,RvY_04118,RvY_04118-2,hypothetical protein,GAU91963.1,RvY_04118,RvY_04118,GAU91963.1 hypothetical protein RvY_04118-2 [Ramazzottius varieornatus],hypothetical protein RvY_04118-2,TRUE
lcl|BDGG01000002.1_cds_GAU91964.1_4862 [gene=RvY_04119-1] [locus_tag=RvY_04119] [protein=hypothetical protein] [protein_id=GAU91964.1] [location=complement(2102255..2103529)] [gbkey=CDS],lcl|BDGG01000002.1_cds_GAU91964.1_4862,RvY_04119-1,RvY_04119,hypothetical protein,GAU91964.1,RvY_04119,RvY_04119,GAU91964.1 hypothetical protein RvY_04119 [Ramazzottius varieornatus],hypothetical protein RvY_04119,TRUE
