gene	gene_base	protein_id	ncbi_protein_desc	match_type	delta_pool	instability_score	pfam_name	pfam_acc	pfam_desc	pfam_hit_count	interpro_analysis	interpro_sig_acc	interpro_sig_desc	interpro_acc	interpro_desc	interpro_hit_count	raw_annotation	has_annotation	broad_group_auto	expert_reclassified_group	expert_reclassification_note	manual_reclassified	broad_group_precollapse	broad_group_figure
RvY_04696-1	NA	GAU92643.1	hypothetical protein	exact_gene	-0.0254736080141749	1.60556408432748	Ion_trans; cNMP_binding	PF00520.37; PF00027.35	Ion transport protein; Cyclic nucleotide-binding domain	2	MobiDBLite; SUPERFAMILY; ProSiteProfiles; SMART; Gene3D; Pfam; FunFam; ProSitePatterns; PANTHER; CDD	mobidb-lite; SSF51206; PS50042; SSF81324; SM00100; G3DSA:1.10.287.70; G3DSA:1.10.287.630; PF00027; G3DSA:1.10.287.70:FF:000072; PS00888; PTHR45638; G3DSA:1.10.287.630:FF:000001; cd00038; PS00889; G3DSA:2.60.120.10:FF:000020; G3DSA:2.60.120.10; PF00520	consensus disorder prediction; cAMP-binding domain-like; cAMP/cGMP binding motif profile.; Voltage-gated potassium channels; cnmp_10; Helix hairpin bin; Cyclic nucleotide-binding domain; Cyclic nucleotide gated channel beta 3; Cyclic nucleotide-binding domain signature 1.; CYCLIC NUCLEOTIDE-GATED CATION CHANNEL SUBUNIT A; Cyclic nucleotide-gated channel alpha 3; CAP_ED; Cyclic nucleotide-binding domain signature 2.; Cyclic nucleotide-gated channel beta 3; Jelly Rolls; Ion transport protein	IPR018490; IPR000595; IPR018488; IPR014710; IPR005821	Cyclic nucleotide-binding domain superfamily; Cyclic nucleotide-binding domain; Cyclic nucleotide-binding, conserved site; RmlC-like jelly roll fold; Ion transport domain	25	hypothetical protein; Ion transport protein; Cyclic nucleotide-binding domain; consensus disorder prediction; cAMP-binding domain-like; cAMP/cGMP binding motif profile.; Voltage-gated potassium channels; cnmp_10; Helix hairpin bin; Cyclic nucleotide-binding domain; Cyclic nucleotide gated channel beta 3; Cyclic nucleotide-binding domain signature 1.; CYCLIC NUCLEOTIDE-GATED CATION CHANNEL SUBUNIT A; Cyclic nucleotide-gated channel alpha 3; CAP_ED; Cyclic nucleotide-binding domain signature 2.; Cyclic nucleotide-gated channel beta 3; Jelly Rolls; Ion transport protein; Cyclic nucleotide-binding domain superfamily; Cyclic nucleotide-binding domain; Cyclic nucleotide-binding, conserved site; RmlC-like jelly roll fold; Ion transport domain; Ion_trans; cNMP_binding; MobiDBLite; SUPERFAMILY; ProSiteProfiles; SMART; Gene3D; Pfam; FunFam; ProSitePatterns; PANTHER; CDD	TRUE	Transport/Membrane	Transport/Membrane		FALSE	Transport/Membrane	Transport/Membrane
RvY_03985-1	NA	GAU91795.1	hypothetical protein	exact_gene	-0.0542140591665392	1.59991376703544	Ras; Roc; Arf; GTP_EFTU; RsgA_GTPase; G-alpha; MMR_HSR1	PF00071.28; PF08477.19; PF00025.27; PF00009.33; PF03193.22; PF00503.26; PF01926.29	Ras family; Ras of Complex, Roc, domain of DAPkinase; ADP-ribosylation factor family; Elongation factor Tu GTP binding domain; RsgA GTPase; G-protein alpha subunit; 50S ribosome-binding GTPase	9	PANTHER; SMART; SUPERFAMILY; ProSiteProfiles; NCBIfam; FunFam; Pfam; Gene3D; PRINTS	PTHR24070; SM00173; SSF52540; SM00176; PS51421; SM00174; SM00175; TIGR00231; G3DSA:3.40.50.300:FF:000189; PS51420; PF00071; G3DSA:3.40.50.300; PS51419; PR00449	RAS, DI-RAS, AND RHEB FAMILY MEMBERS OF SMALL GTPASE SUPERFAMILY; ras_sub_4; P-loop containing nucleoside triphosphate hydrolases; ran_sub_2; small GTPase Ras family profile.; rho_sub_3; rab_sub_5; small GTP-binding protein domain; Member of ras oncogene family; small GTPase Rho family profile.; Ras family; small GTPase Rab1 family profile.; Transforming protein P21 ras signature	IPR020849; IPR027417; IPR001806; IPR005225	Small GTPase, Ras-type; P-loop containing nucleoside triphosphate hydrolase; Small GTPase; Small GTP-binding protein domain	18	hypothetical protein; Ras family; Ras of Complex, Roc, domain of DAPkinase; ADP-ribosylation factor family; Elongation factor Tu GTP binding domain; RsgA GTPase; G-protein alpha subunit; 50S ribosome-binding GTPase; RAS, DI-RAS, AND RHEB FAMILY MEMBERS OF SMALL GTPASE SUPERFAMILY; ras_sub_4; P-loop containing nucleoside triphosphate hydrolases; ran_sub_2; small GTPase Ras family profile.; rho_sub_3; rab_sub_5; small GTP-binding protein domain; Member of ras oncogene family; small GTPase Rho family profile.; Ras family; small GTPase Rab1 family profile.; Transforming protein P21 ras signature; Small GTPase, Ras-type; P-loop containing nucleoside triphosphate hydrolase; Small GTPase; Small GTP-binding protein domain; Ras; Roc; Arf; GTP_EFTU; RsgA_GTPase; G-alpha; MMR_HSR1; PANTHER; SMART; SUPERFAMILY; ProSiteProfiles; NCBIfam; FunFam; Pfam; Gene3D; PRINTS	TRUE	Signaling/Receptor	Signaling/Receptor		FALSE	Signaling/Receptor	Signaling/Receptor
RvY_03151-1	NA	GAU90777.1	hypothetical protein	exact_gene	-0.0525296787981597	1.59978537167098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hypothetical protein	TRUE	Complex proteins, unresolved class	Complex proteins, unresolved class		FALSE	Complex proteins, unresolved class	Complex proteins, unresolved class
RvY_07160-1	NA	GAU95561.1	hypothetical protein	exact_gene	-0.0568654800514654	1.59540466820349	Sulfakinin; FARP	PF08257.16; PF01581.21	Sulfakinin family; FMRFamide related peptide family	7	Pfam	PF08257	Sulfakinin family	IPR013259	Sulfakinin	1	hypothetical protein; Sulfakinin family; FMRFamide related peptide family; Sulfakinin family; Sulfakinin; Sulfakinin; FARP; Pfam	TRUE	Signaling/Receptor	Signaling/Receptor		FALSE	Signaling/Receptor	Signaling/Receptor
RvY_09626-1	NA	GAU98487.1	hypothetical protein	exact_gene	-0.0024557651373236	1.59023236996251	Methyltr_RsmB-F; RsmF-B_ferredox; Methyltr_RsmF_N; TRM5-TYW2_MTfase; Fibrillarin; BMT5-like; Methyltransf_15; DUF6474	PF01189.24; PF22458.1; PF17125.10; PF02475.24; PF01269.23; PF10354.15; PF09445.16; PF20079.4	16S rRNA methyltransferase RsmB/F; Methyltr_RsmF/B-like, ferredoxin-like domain; N-terminal domain of 16S rRNA methyltransferase RsmF; TRM5/TYW2 methyltransferase domain; Fibrillarin; rRNA (uridine-N3-)-methyltransferase BTM5-like; RNA cap guanine-N2 methyltransferase; Family of unknown function (DUF6474)	8	ProSiteProfiles; MobiDBLite; PRINTS; ProSitePatterns; SUPERFAMILY; Pfam; Gene3D; NCBIfam; FunFam; PANTHER	PS51686; mobidb-lite; PR02008; PS01153; SSF53335; PF01189; G3DSA:3.30.70.1170; G3DSA:3.40.50.150; TIGR00446; G3DSA:3.30.70.1170:FF:000001; PR02012; PTHR22807; PF17125	SAM-dependent MTase RsmB/NOP-type domain profile.; consensus disorder prediction; RNA (C5-cytosine) methyltransferase signature; NOL1/NOP2/sun family signature.; S-adenosyl-L-methionine-dependent methyltransferases; 16S rRNA methyltransferase RsmB/F; Sun protein; domain 3; Vaccinia Virus protein VP39; NOL1/NOP2/sun family putative RNA methylase; Ribosomal RNA methyltransferase Nop2; RNA (C5-cytosine) methyltransferase NOP2 subfamily signature; NOP2 YEAST -RELATED NOL1/NOP2/FMU SUN  DOMAIN-CONTAINING; N-terminal domain of 16S rRNA methyltransferase RsmF	IPR001678; IPR023267; IPR018314; IPR029063; IPR049560; IPR011023; IPR023273; IPR031341	SAM-dependent methyltransferase RsmB-F/NOP2-type domain; RNA (C5-cytosine) methyltransferase; Bacterial Fmu (Sun)/eukaryotic nucleolar NOL1/Nop2p, conserved site; S-adenosyl-L-methionine-dependent methyltransferase superfamily; SAM-dependent methyltransferase RsmB-F/NOP2-type, catalytic core; Nop2p; RNA (C5-cytosine) methyltransferase, NOP2; Ribosomal RNA small subunit methyltransferase F, N-terminal	26	hypothetical protein; 16S rRNA methyltransferase RsmB/F; Methyltr_RsmF/B-like, ferredoxin-like domain; N-terminal domain of 16S rRNA methyltransferase RsmF; TRM5/TYW2 methyltransferase domain; Fibrillarin; rRNA (uridine-N3-)-methyltransferase BTM5-like; RNA cap guanine-N2 methyltransferase; Family of unknown function (DUF6474); SAM-dependent MTase RsmB/NOP-type domain profile.; consensus disorder prediction; RNA (C5-cytosine) methyltransferase signature; NOL1/NOP2/sun family signature.; S-adenosyl-L-methionine-dependent methyltransferases; 16S rRNA methyltransferase RsmB/F; Sun protein; domain 3; Vaccinia Virus protein VP39; NOL1/NOP2/sun family putative RNA methylase; Ribosomal RNA methyltransferase Nop2; RNA (C5-cytosine) methyltransferase NOP2 subfamily signature; NOP2 YEAST -RELATED NOL1/NOP2/FMU SUN  DOMAIN-CONTAINING; N-terminal domain of 16S rRNA methyltransferase RsmF; SAM-dependent methyltransferase RsmB-F/NOP2-type domain; RNA (C5-cytosine) methyltransferase; Bacterial Fmu (Sun)/eukaryotic nucleolar NOL1/Nop2p, conserved site; S-adenosyl-L-methionine-dependent methyltransferase superfamily; SAM-dependent methyltransferase RsmB-F/NOP2-type, catalytic core; Nop2p; RNA (C5-cytosine) methyltransferase, NOP2; Ribosomal RNA small subunit methyltransferase F, N-terminal; Methyltr_RsmB-F; RsmF-B_ferredox; Methyltr_RsmF_N; TRM5-TYW2_MTfase; Fibrillarin; BMT5-like; Methyltransf_15; DUF6474; ProSiteProfiles; MobiDBLite; PRINTS; ProSitePatterns; SUPERFAMILY; Pfam; Gene3D; NCBIfam; FunFam; PANTHER	TRUE	Metabolism/Enzyme	Metabolism/Enzyme		FALSE	Metabolism/Enzyme	Metabolism/Enzyme
RvY_00301-1	NA	GAU87466.1	AQP2	exact_gene	0.102330146347211	1.57897937823884	MIP; DUF6113	PF00230.25; PF19608.4	Major intrinsic protein; Family of unknown function (DUF6113)	3	Pfam; SUPERFAMILY; CDD; NCBIfam; Gene3D; PANTHER; PRINTS	PF00230; SSF81338; cd00333; TIGR00861; G3DSA:1.20.1080.10; PTHR43829; PR00783	Major intrinsic protein; Aquaporin-like; MIP; MIP family channel protein; Glycerol uptake facilitator protein.; AQUAPORIN OR AQUAGLYCEROPORIN RELATED; Major intrinsic protein family signature	IPR000425; IPR023271	Major intrinsic protein; Aquaporin-like	12	AQP2; Major intrinsic protein; Family of unknown function (DUF6113); Major intrinsic protein; Aquaporin-like; MIP; MIP family channel protein; Glycerol uptake facilitator protein.; AQUAPORIN OR AQUAGLYCEROPORIN RELATED; Major intrinsic protein family signature; Major intrinsic protein; Aquaporin-like; MIP; DUF6113; Pfam; SUPERFAMILY; CDD; NCBIfam; Gene3D; PANTHER; PRINTS	TRUE	Transport/Membrane	Transport/Membrane		FALSE	Transport/Membrane	Transport/Membrane
RvY_18048-1	NA	GAV08338.1	hypothetical protein	exact_gene	-0.0749271843821591	1.57605320400732	TMEM151; DUF3017	PF14857.11; PF11222.13	TMEM151 family; Protein of unknown function (DUF3017)	3	PANTHER; Pfam	PTHR31893; PF14857	TRANSMEMBRANE PROTEIN 151 HOMOLOG; TMEM151 family	IPR026767	Transmembrane protein 151	2	hypothetical protein; TMEM151 family; Protein of unknown function (DUF3017); TRANSMEMBRANE PROTEIN 151 HOMOLOG; TMEM151 family; Transmembrane protein 151; TMEM151; DUF3017; PANTHER; Pfam	TRUE	Transport/Membrane	Transport/Membrane		FALSE	Transport/Membrane	Transport/Membrane
RvY_09825-1	NA	GAU98714.1	hypothetical protein	exact_gene	0.0928141797869282	1.57499911371215	Oxidored-like	PF09791.14	Oxidoreductase-like protein, N-terminal	1	NA	NA	NA	NA	NA	NA	hypothetical protein; Oxidoreductase-like protein, N-terminal; Oxidored-like	TRUE	Metabolism/Enzyme	Metabolism/Enzyme		FALSE	Metabolism/Enzyme	Metabolism/Enzyme
RvY_08618-1	NA	GAU97296.1	hypothetical protein	exact_gene	-0.100999110045023	1.57191429647437	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hypothetical protein	TRUE	Complex proteins, unresolved class	Complex proteins, unresolved class		FALSE	Complex proteins, unresolved class	Complex proteins, unresolved class
RvY_17490	NA	GAV07676.1	hypothetical protein	exact_gene	-0.0714732190200058	1.56111979413298	Trypsin; DUF1986; Trypsin_2	PF00089.32; PF09342.17; PF13365.12	Trypsin; Domain of unknown function (DUF1986); Trypsin-like peptidase domain	5	PANTHER; PRINTS; Gene3D; ProSitePatterns; FunFam; ProSiteProfiles; CDD; SMART; Pfam; SUPERFAMILY	PTHR24252; PR00722; G3DSA:2.40.10.10; PS00135; G3DSA:2.40.10.10:FF:000003; PS00134; PS50240; cd00190; SM00020; PF00089; SSF50494	ACROSIN-RELATED; Chymotrypsin serine protease family (S1) signature; Serine proteases, trypsin family, serine active site.; Transmembrane serine protease 3; Serine proteases, trypsin family, histidine active site.; Serine proteases, trypsin domain profile.; Tryp_SPc; trypsin_2; Trypsin; Trypsin-like serine proteases	IPR001314; IPR043504; IPR033116; IPR018114; IPR001254; IPR009003	Peptidase S1A, chymotrypsin family; Peptidase S1, PA clan, chymotrypsin-like fold; Serine proteases, trypsin family, serine active site; Serine proteases, trypsin family, histidine active site; Serine proteases, trypsin domain; Peptidase S1, PA clan	13	hypothetical protein; Trypsin; Domain of unknown function (DUF1986); Trypsin-like peptidase domain; ACROSIN-RELATED; Chymotrypsin serine protease family (S1) signature; Serine proteases, trypsin family, serine active site.; Transmembrane serine protease 3; Serine proteases, trypsin family, histidine active site.; Serine proteases, trypsin domain profile.; Tryp_SPc; trypsin_2; Trypsin; Trypsin-like serine proteases; Peptidase S1A, chymotrypsin family; Peptidase S1, PA clan, chymotrypsin-like fold; Serine proteases, trypsin family, serine active site; Serine proteases, trypsin family, histidine active site; Serine proteases, trypsin domain; Peptidase S1, PA clan; Trypsin; DUF1986; Trypsin_2; PANTHER; PRINTS; Gene3D; ProSitePatterns; FunFam; ProSiteProfiles; CDD; SMART; Pfam; SUPERFAMILY	TRUE	Proteolysis	Proteolysis		FALSE	Proteolysis	Proteolysis
RvY_09464-1	NA	GAU98300.1	hypothetical protein	exact_gene	-0.0185026579404308	1.55544172243321	SNF2-rel_dom; ResIII; HARP; Helicase_C; ERCC3_RAD25_C	PF00176.29; PF04851.21; PF07443.18; PF00271.37; PF16203.11	SNF2-related domain; Type III restriction enzyme, res subunit; HepA-related protein (HARP); Helicase conserved C-terminal domain; ERCC3/RAD25/XPB C-terminal helicase	8	Pfam; SUPERFAMILY; Gene3D; MobiDBLite; CDD; ProSiteProfiles; PANTHER; Coils; SMART	PF07443; SSF52540; G3DSA:3.40.50.10810; mobidb-lite; cd18010; PS51467; PS51192; PTHR45766; PF00176; Coil; G3DSA:3.40.50.300; SM00487; cd18793	HepA-related protein (HARP); P-loop containing nucleoside triphosphate hydrolases; consensus disorder prediction; DEXHc_HARP_SMARCAL1; HARP domain profile.; Superfamilies 1 and 2 helicase ATP-binding type-1 domain profile.; DNA ANNEALING HELICASE AND ENDONUCLEASE ZRANB3 FAMILY MEMBER; SNF2-related domain; Coil; ultradead3; SF2_C_SNF	IPR010003; IPR027417; IPR038718; IPR014001; IPR000330; IPR049730	HARP domain; P-loop containing nucleoside triphosphate hydrolase; SNF2-like, N-terminal domain superfamily; Helicase superfamily 1/2, ATP-binding domain; SNF2, N-terminal; SNF2/RAD5-like, C-terminal helicase domain	17	hypothetical protein; SNF2-related domain; Type III restriction enzyme, res subunit; HepA-related protein (HARP); Helicase conserved C-terminal domain; ERCC3/RAD25/XPB C-terminal helicase; HepA-related protein (HARP); P-loop containing nucleoside triphosphate hydrolases; consensus disorder prediction; DEXHc_HARP_SMARCAL1; HARP domain profile.; Superfamilies 1 and 2 helicase ATP-binding type-1 domain profile.; DNA ANNEALING HELICASE AND ENDONUCLEASE ZRANB3 FAMILY MEMBER; SNF2-related domain; Coil; ultradead3; SF2_C_SNF; HARP domain; P-loop containing nucleoside triphosphate hydrolase; SNF2-like, N-terminal domain superfamily; Helicase superfamily 1/2, ATP-binding domain; SNF2, N-terminal; SNF2/RAD5-like, C-terminal helicase domain; SNF2-rel_dom; ResIII; HARP; Helicase_C; ERCC3_RAD25_C; Pfam; SUPERFAMILY; Gene3D; MobiDBLite; CDD; ProSiteProfiles; PANTHER; Coils; SMART	TRUE	Regulation/Nucleic-acid associated	Regulation/Nucleic-acid associated	DNA/RNA nuclease-associated feature	TRUE	Regulation/Nucleic-acid associated	Regulation/Nucleic-acid associated
RvY_14439-1	NA	GAV04111.1	hypothetical protein	exact_gene	0.0928858593862962	1.55485391082523	Sec7; PH; PH_11; PH_8; SOS1_NGEF_PH; PH_3; RIN1	PF01369.25; PF00169.35; PF15413.13; PF15409.12; PF22697.2; PF14593.12; PF23268.1	Sec7 domain; PH domain; Pleckstrin homology domain; SOS1/NGEF-like PH domain; RIN1-like domain	13	FunFam; Pfam; Gene3D; SUPERFAMILY; PANTHER; MobiDBLite; SMART; CDD; Coils; ProSiteProfiles	G3DSA:1.10.1000.11:FF:000002; PF01369; G3DSA:1.10.1000.11; SSF48425; G3DSA:1.10.220.20; PTHR10663; mobidb-lite; SM00222; G3DSA:2.30.29.30; SSF50729; PF00169; cd00171; Coil; PS50003; SM00233; PS50190	Cytohesin 1; Sec7 domain; GUANYL-NUCLEOTIDE EXCHANGE FACTOR; consensus disorder prediction; sec7_5; PH domain-like; PH domain; Sec7; Coil; PH domain profile.; PH_update; SEC7 domain profile.	IPR000904; IPR023394; IPR035999; IPR011993; IPR001849	Sec7 domain; Sec7, C-terminal domain superfamily; Sec7 domain superfamily; PH-like domain superfamily; Pleckstrin homology domain	17	hypothetical protein; Sec7 domain; PH domain; Pleckstrin homology domain; SOS1/NGEF-like PH domain; RIN1-like domain; Cytohesin 1; Sec7 domain; GUANYL-NUCLEOTIDE EXCHANGE FACTOR; consensus disorder prediction; sec7_5; PH domain-like; PH domain; Sec7; Coil; PH domain profile.; PH_update; SEC7 domain profile.; Sec7 domain; Sec7, C-terminal domain superfamily; Sec7 domain superfamily; PH-like domain superfamily; Pleckstrin homology domain; Sec7; PH; PH_11; PH_8; SOS1_NGEF_PH; PH_3; RIN1; FunFam; Pfam; Gene3D; SUPERFAMILY; PANTHER; MobiDBLite; SMART; CDD; Coils; ProSiteProfiles	TRUE	Generic domain proteins	Generic domain proteins		FALSE	Generic domain proteins	Generic domain proteins
RvY_11998-1	NA	GAV01259.1	hypothetical protein	exact_gene	-0.0635878192905306	1.55472020634158	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hypothetical protein	TRUE	Complex proteins, unresolved class	Complex proteins, unresolved class		FALSE	Complex proteins, unresolved class	Complex proteins, unresolved class
RvY_06920-1	NA	GAU95274.1	hypothetical protein	exact_gene	-0.0658928332818469	1.54916861161614	CIA30; Aconitase_C; Y_phosphatase3	PF08547.18; PF00694.25; PF13350.11	Complex I intermediate-associated protein 30 (CIA30); Aconitase C-terminal domain; Tyrosine phosphatase family	3	Pfam; PANTHER; SUPERFAMILY	PF08547; PTHR13194; SSF49785	Complex I intermediate-associated protein 30 (CIA30); COMPLEX I INTERMEDIATE-ASSOCIATED PROTEIN 30; Galactose-binding domain-like	IPR013857; IPR039131; IPR008979	NADH:ubiquinone oxidoreductase intermediate-associated protein 30; Complex I intermediate-associated protein 30, mitochondrial; Galactose-binding-like domain superfamily	3	hypothetical protein; Complex I intermediate-associated protein 30 (CIA30); Aconitase C-terminal domain; Tyrosine phosphatase family; Complex I intermediate-associated protein 30 (CIA30); COMPLEX I INTERMEDIATE-ASSOCIATED PROTEIN 30; Galactose-binding domain-like; NADH:ubiquinone oxidoreductase intermediate-associated protein 30; Complex I intermediate-associated protein 30, mitochondrial; Galactose-binding-like domain superfamily; CIA30; Aconitase_C; Y_phosphatase3; Pfam; PANTHER; SUPERFAMILY	TRUE	Signaling/Receptor	Signaling/Receptor		FALSE	Signaling/Receptor	Signaling/Receptor
RvY_18441-1	NA	GAV08798.1	hypothetical protein	exact_gene	0.0890438960455127	1.54720808649399	Ets	PF00178.28	Ets-domain	1	PRINTS; Pfam; Gene3D; SUPERFAMILY; SMART; ProSitePatterns; ProSiteProfiles; PANTHER	PR00454; PF00178; G3DSA:1.10.10.10; SSF46785; SM00413; PS00346; PS00345; PS50061; PTHR11849	ETS domain signature; Ets-domain; Winged helix DNA-binding domain; etsneu2; Ets-domain signature 2.; Ets-domain signature 1.; Ets-domain profile.; ETS	IPR000418; IPR036388; IPR036390; IPR046328	Ets domain; Winged helix-like DNA-binding domain superfamily; Winged helix DNA-binding domain superfamily; ETS family	11	hypothetical protein; Ets-domain; ETS domain signature; Ets-domain; Winged helix DNA-binding domain; etsneu2; Ets-domain signature 2.; Ets-domain signature 1.; Ets-domain profile.; ETS; Ets domain; Winged helix-like DNA-binding domain superfamily; Winged helix DNA-binding domain superfamily; ETS family; Ets; PRINTS; Pfam; Gene3D; SUPERFAMILY; SMART; ProSitePatterns; ProSiteProfiles; PANTHER	TRUE	Regulation/Nucleic-acid associated	Regulation/Nucleic-acid associated		FALSE	Regulation/Nucleic-acid associated	Regulation/Nucleic-acid associated
RvY_18115-1	NA	GAV08424.1	hypothetical protein	exact_gene	0.0438609738007116	1.5455666088081	NA	NA	NA	NA	MobiDBLite	mobidb-lite	consensus disorder prediction			4	hypothetical protein; consensus disorder prediction; MobiDBLite	TRUE	Complex proteins, unresolved class	Complex proteins, unresolved class		FALSE	Complex proteins, unresolved class	Complex proteins, unresolved class
RvY_19043	NA	GAV09514.1	hypothetical protein	exact_gene	0.0134032899352246	1.53928149121808	Metallophos; EF-hand_7; EF-hand_6; EF-hand_1; PPP5; EF-hand_8; EF-hand_5; EH; DUF5580_M; GPHH; EF-hand_STIM1	PF00149.33; PF13499.12; PF13405.12; PF00036.39; PF08321.18; PF13833.12; PF13202.12; PF12763.14; PF20742.3; PF16905.10; PF25578.1	Calcineurin-like phosphoesterase; EF-hand domain pair; EF-hand domain; EF hand domain; PPP5 TPR repeat region; EF hand; EH domain; Family of unknown function (DUF5580) middle domain; Voltage-dependent L-type calcium channel, IQ-associated; Stromal interaction molecule 1-like, EF-hand	26	SMART; SUPERFAMILY; ProSiteProfiles; Pfam; PANTHER; MobiDBLite; Gene3D; CDD; ProSitePatterns; PIRSF; PRINTS	SM00054; SSF56300; PS50222; SSF47473; PF00149; SM00156; PTHR45668; mobidb-lite; PF08321; G3DSA:1.10.238.10; G3DSA:3.60.21.10; cd00051; PS00018; PF13499; PIRSF000912; PR00114; PS00125	efh_1; Metallo-dependent phosphatases; EF-hand calcium-binding domain profile.; EF-hand; Calcineurin-like phosphoesterase; pp2a_7; SERINE/THREONINE-PROTEIN PHOSPHATASE 5-RELATED; consensus disorder prediction; PPP5 TPR repeat region; EFh; EF-hand calcium-binding domain.; EF-hand domain pair; PPEF; Serine/threonine phosphatase family signature; Serine/threonine specific protein phosphatases signature.	IPR002048; IPR029052; IPR011992; IPR004843; IPR006186; IPR013235; IPR018247; IPR012008	EF-hand domain; Metallo-dependent phosphatase-like; EF-hand domain pair; Calcineurin-like phosphoesterase domain, ApaH type; Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase; PPP domain; EF-Hand 1, calcium-binding site; Serine/threonine-protein phosphatase with EF-hands	29	hypothetical protein; Calcineurin-like phosphoesterase; EF-hand domain pair; EF-hand domain; EF hand domain; PPP5 TPR repeat region; EF hand; EH domain; Family of unknown function (DUF5580) middle domain; Voltage-dependent L-type calcium channel, IQ-associated; Stromal interaction molecule 1-like, EF-hand; efh_1; Metallo-dependent phosphatases; EF-hand calcium-binding domain profile.; EF-hand; Calcineurin-like phosphoesterase; pp2a_7; SERINE/THREONINE-PROTEIN PHOSPHATASE 5-RELATED; consensus disorder prediction; PPP5 TPR repeat region; EFh; EF-hand calcium-binding domain.; EF-hand domain pair; PPEF; Serine/threonine phosphatase family signature; Serine/threonine specific protein phosphatases signature.; EF-hand domain; Metallo-dependent phosphatase-like; EF-hand domain pair; Calcineurin-like phosphoesterase domain, ApaH type; Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase; PPP domain; EF-Hand 1, calcium-binding site; Serine/threonine-protein phosphatase with EF-hands; Metallophos; EF-hand_7; EF-hand_6; EF-hand_1; PPP5; EF-hand_8; EF-hand_5; EH; DUF5580_M; GPHH; EF-hand_STIM1; SMART; SUPERFAMILY; ProSiteProfiles; Pfam; PANTHER; MobiDBLite; Gene3D; CDD; ProSitePatterns; PIRSF; PRINTS	TRUE	Signaling/Receptor	Signaling/Receptor		FALSE	Signaling/Receptor	Signaling/Receptor
RvY_09970-1	NA	GAU98887.1	hypothetical protein	exact_gene	-0.108136180377489	1.53387227223601	Inositol_P	PF00459.30	Inositol monophosphatase family	2	Gene3D; ProSitePatterns; PANTHER; SUPERFAMILY; Pfam	G3DSA:3.30.540.10; G3DSA:4.10.460.10; PS00630; G3DSA:3.40.190.80; PTHR43028; SSF56655; PF00459	Inositol monophosphatase family signature 2.; 3'(2'),5'-BISPHOSPHATE NUCLEOTIDASE 1; Carbohydrate phosphatase; Inositol monophosphatase family	IPR044897; IPR020550; IPR000760	Inositol polyphosphate 1-phosphatase, domain 1; Inositol monophosphatase, conserved site; Inositol monophosphatase-like	7	hypothetical protein; Inositol monophosphatase family; Inositol monophosphatase family signature 2.; 3'(2'),5'-BISPHOSPHATE NUCLEOTIDASE 1; Carbohydrate phosphatase; Inositol monophosphatase family; Inositol polyphosphate 1-phosphatase, domain 1; Inositol monophosphatase, conserved site; Inositol monophosphatase-like; Inositol_P; Gene3D; ProSitePatterns; PANTHER; SUPERFAMILY; Pfam	TRUE	Signaling/Receptor	Signaling/Receptor		FALSE	Signaling/Receptor	Signaling/Receptor
RvY_10405	NA	GAU99391.1	hypothetical protein	exact_gene	-0.119241979140801	1.53206897742011	Tudor-knot; MSL3_chromo-like	PF11717.14; PF22732.2	RNA binding activity-knot of a chromodomain; MSL3 chromodomain-like	2	SUPERFAMILY; MobiDBLite; Pfam; Gene3D	SSF54160; mobidb-lite; PF11717; G3DSA:2.30.30.140	Chromo domain-like; consensus disorder prediction; RNA binding activity-knot of a chromodomain	IPR016197; IPR025995	Chromo-like domain superfamily; RNA binding activity-knot of a chromodomain	7	hypothetical protein; RNA binding activity-knot of a chromodomain; MSL3 chromodomain-like; Chromo domain-like; consensus disorder prediction; RNA binding activity-knot of a chromodomain; Chromo-like domain superfamily; RNA binding activity-knot of a chromodomain; Tudor-knot; MSL3_chromo-like; SUPERFAMILY; MobiDBLite; Pfam; Gene3D	TRUE	Binding proteins	Binding proteins		FALSE	Binding proteins	Binding proteins
RvY_07514-1	NA	GAU96006.1	hypothetical protein	exact_gene	0.0806328255419757	1.53041509137689	EF-hand_7; EH	PF13499.12; PF12763.14	EF-hand domain pair; EH domain	3	SUPERFAMILY; ProSiteProfiles	SSF47473; PS50222	EF-hand; EF-hand calcium-binding domain profile.	IPR011992; IPR002048	EF-hand domain pair; EF-hand domain	2	hypothetical protein; EF-hand domain pair; EH domain; EF-hand; EF-hand calcium-binding domain profile.; EF-hand domain pair; EF-hand domain; EF-hand_7; EH; SUPERFAMILY; ProSiteProfiles	TRUE	Binding proteins	Binding proteins		FALSE	Binding proteins	Binding proteins
