gene,category,protein_id,protein_desc_from_cds,protein_desc_from_protein,Preferred_name,Description,GOs,KEGG_ko,KEGG_Pathway,PFAMs_eggnog,ipr_acc,ipr_desc,ipr_go,ipr_path,pfam_hits
RvY_08284-1,Pooled-only,GAU96915.1,hypothetical protein,hypothetical protein RvY_08284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_06831-1,Pooled-only,GAU95159.1,hypothetical protein,hypothetical protein RvY_06831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_09023,Pooled-only,GAU97787.1,hypothetical protein,hypothetical protein RvY_09023-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_07331,Pooled-only,GAU95769.1,hypothetical protein,hypothetical protein RvY_07331-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_12301-1,Pooled-only,GAV01615.1,hypothetical protein,hypothetical protein RvY_12301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_15280-2,Pooled-only,GAV05101.1,hypothetical protein,hypothetical protein RvY_15280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_10068-1,Pooled-only,GAU99006.1,hypothetical protein,hypothetical protein RvY_10068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_15025-1,Pooled-only,GAV04801.1,hypothetical protein,hypothetical protein RvY_15025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_11696-1,Pooled-only,GAV00913.1,HSP70-9,HSP70-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_11995,Pooled-only,GAV01255.1,hypothetical protein,hypothetical protein RvY_11995-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_01193-1,Pooled-only,GAU88506.1,hypothetical protein,hypothetical protein RvY_01193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_12015-1,Pooled-only,GAV01278.1,hypothetical protein,hypothetical protein RvY_12015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_06816-1,Pooled-only,GAU95141.1,hypothetical protein,hypothetical protein RvY_06816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_14820-1,Pooled-only,GAV04553.1,hypothetical protein,hypothetical protein RvY_14820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_13094-1,Pooled-only,GAV02547.1,hypothetical protein,hypothetical protein RvY_13094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_15289,Pooled-only,GAV05112.1,hypothetical protein,hypothetical protein RvY_15289-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_04381-1,Pooled-only,GAU92281.1,hypothetical protein,hypothetical protein RvY_04381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_03742-1,Pooled-only,GAU91503.1,hypothetical protein,hypothetical protein RvY_03742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_13852,Pooled-only,GAV03427.1,hypothetical protein,hypothetical protein RvY_13852-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_04920-1,Pooled-only,GAU92901.1,hypothetical protein,hypothetical protein RvY_04920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_12429,Pooled-only,GAV01771.1,hypothetical protein,hypothetical protein RvY_12429-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_15500-1,Pooled-only,GAV05352.1,hypothetical protein,hypothetical protein RvY_15500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_02784-1,Pooled-only,GAU90360.1,hypothetical protein,hypothetical protein RvY_02784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_13156-1,Pooled-only,GAV02615.1,hypothetical protein,hypothetical protein RvY_13156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_00438-1,Pooled-only,GAU87619.1,hypothetical protein,hypothetical protein RvY_00438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
